Date,valor_propio,valor_regalo,valor_mejorado,peak,drawdown
2021-06-17,435771.1273764685,21097.85372214901,456868.98109861754,459148.3374256744,-0.004964313580740908
2021-06-18,435500.69564810547,21097.85372214901,456598.5493702545,459148.3374256744,-0.005553299113998587
2021-06-21,435043.4199141577,21097.85372214901,456141.27363630675,459148.3374256744,-0.0065492206859062195
2021-06-22,434916.2014769629,21097.85372214901,456014.0551991119,459148.3374256744,-0.006826295493381523
2021-06-23,435016.94051733764,21097.85372214901,456114.7942394867,459148.3374256744,-0.006606891365862356
2021-06-24,434980.34677496704,21097.85372214901,456078.2004971161,459148.3374256744,-0.006686590537976922
2021-06-25,435538.86812201294,21097.85372214901,456636.721844162,459148.3374256744,-0.005470161550827839
2021-06-28,437003.71898642334,21097.85372214901,458101.5727085724,459148.3374256744,-0.002279796379032948
2021-06-29,437060.16304007324,21097.85372214901,458158.0167622223,459148.3374256744,-0.0021568643131860596
2021-06-30,436956.50804510864,21097.85372214901,458054.3617672577,459148.3374256744,-0.002382619230530999
2021-07-01,436859.00804510864,21097.85372214901,457956.8617672577,459148.3374256744,-0.0025949689050319617
2021-07-02,436458.9484976843,21097.85372214901,457556.80221983336,459148.3374256744,-0.0034662767478684325
2021-07-05,436196.62342062744,21097.85372214901,457294.4771427765,459148.3374256744,-0.004037606437370682
2021-07-06,437179.7313117102,21097.85372214901,458277.58503385924,459148.3374256744,-0.0018964511484398882
2021-07-07,438007.5048636511,21097.85372214901,459105.35858580016,459148.3374256744,-9.360556572030464e-05
2021-07-08,437385.61729422363,21097.85372214901,458483.47101637267,459148.3374256744,-0.0014480427241215577
2021-07-09,437273.0304526404,21097.85372214901,458370.8841747894,459148.3374256744,-0.0016932507155399676
2021-07-12,437256.5520857886,21097.85372214901,458354.4058079376,459148.3374256744,-0.0017291396984865173
2021-07-13,438136.56511297973,21097.85372214901,459234.4188351288,459234.4188351288,0.0
2021-07-14,437409.63722220215,21097.85372214901,458507.4909443512,459234.4188351288,-0.0015829124755532852
2021-07-15,436920.4493903235,21097.85372214901,458018.3031124725,459234.4188351288,-0.0026481371447309825
2021-07-16,436577.6603316382,21097.85372214901,457675.5140537872,459234.4188351288,-0.0033945730489796325
